,Marca,Modelo,Año,Combustible,CV,Cilindros,Transmisión,Tracción,Puertas,Mercado,Tamaño,Estilo,Consumo Carretera,Consumo Ciudad,Popularidad,Precio
48,0.0,1.0,2016,1.0,320.0,6.0,1.0,0.0,2,1.0,0.0,1.0,30.0,20.0,1.0,46150.0
49,0.0,1.0,2016,1.0,320.0,6.0,1.0,1.0,2,1.0,0.0,1.0,30.0,20.0,1.0,50750.0
50,0.0,1.0,2017,1.0,335.0,6.0,1.0,0.0,2,1.0,0.0,1.0,31.0,21.0,1.0,46450.0
51,0.0,1.0,2017,1.0,335.0,6.0,1.0,1.0,2,1.0,0.0,1.0,32.0,21.0,1.0,49050.0
52,0.0,1.0,2017,1.0,335.0,6.0,1.0,0.0,2,1.0,0.0,1.0,32.0,21.0,1.0,51050.0
53,0.0,1.0,2017,1.0,335.0,6.0,1.0,1.0,2,1.0,0.0,1.0,32.0,21.0,1.0,44450.0
54,0.0,1.0,2017,1.0,248.0,4.0,1.0,1.0,2,1.0,0.0,1.0,34.0,23.0,1.0,38950.0
55,0.0,1.0,2017,1.0,248.0,4.0,1.0,1.0,2,1.0,0.0,1.0,35.0,24.0,1.0,33150.0
56,0.0,1.0,2017,1.0,248.0,4.0,1.0,0.0,2,1.0,0.0,1.0,33.0,24.0,1.0,35150.0
57,0.0,1.0,2017,1.0,248.0,4.0,1.0,0.0,2,1.0,0.0,1.0,33.0,23.0,1.0,40950.0
64,0.0,1.0,2015,1.0,184.0,4.0,1.0,1.0,4,1.0,1.0,1.0,36.0,23.0,0.2546854942233633,25170.0
65,0.0,1.0,2015,1.0,184.0,4.0,1.0,1.0,4,1.0,1.0,1.0,36.0,23.0,0.2546854942233633,23950.0
66,0.0,1.0,2015,1.0,295.0,6.0,1.0,0.0,4,1.0,1.0,1.0,29.0,18.0,0.2546854942233633,29370.0
67,0.0,1.0,2015,1.0,184.0,4.0,1.0,1.0,4,1.0,1.0,1.0,36.0,23.0,0.2546854942233633,21995.0
68,0.0,1.0,2015,1.0,184.0,4.0,1.0,1.0,4,1.0,1.0,1.0,36.0,23.0,0.2546854942233633,26625.0
69,0.0,1.0,2015,1.0,295.0,6.0,1.0,0.0,4,1.0,1.0,1.0,29.0,18.0,0.2546854942233633,30825.0
70,0.0,1.0,2016,1.0,184.0,4.0,1.0,1.0,4,1.0,1.0,1.0,36.0,23.0,0.2546854942233633,21995.0
71,0.0,1.0,2016,1.0,184.0,4.0,1.0,1.0,4,1.0,1.0,1.0,36.0,23.0,0.2546854942233633,27795.0
72,0.0,1.0,2016,1.0,295.0,6.0,1.0,0.0,4,1.0,1.0,1.0,29.0,18.0,0.2546854942233633,31785.0
73,0.0,1.0,2016,1.0,295.0,6.0,1.0,0.0,4,1.0,1.0,1.0,29.0,18.0,0.2546854942233633,29905.0
74,0.0,1.0,2016,1.0,184.0,4.0,1.0,1.0,4,1.0,1.0,1.0,36.0,23.0,0.2546854942233633,22490.0
75,0.0,1.0,2016,1.0,184.0,4.0,1.0,1.0,4,1.0,1.0,1.0,36.0,23.0,0.2546854942233633,27570.0
76,0.0,1.0,2016,1.0,184.0,4.0,1.0,1.0,4,1.0,1.0,1.0,36.0,23.0,0.2546854942233633,25690.0
77,0.0,1.0,2016,1.0,184.0,4.0,1.0,1.0,4,1.0,1.0,1.0,36.0,23.0,0.2546854942233633,24490.0
78,0.0,1.0,2017,1.0,295.0,6.0,1.0,0.0,4,1.0,1.0,1.0,28.0,18.0,0.2546854942233633,29905.0
79,0.0,1.0,2017,1.0,295.0,6.0,1.0,0.0,4,1.0,1.0,1.0,28.0,18.0,0.2546854942233633,31785.0
80,0.0,1.0,2017,1.0,184.0,4.0,1.0,1.0,4,1.0,1.0,1.0,36.0,23.0,0.2546854942233633,26685.0
81,0.0,1.0,2017,1.0,184.0,4.0,1.0,1.0,4,1.0,1.0,1.0,36.0,23.0,0.2546854942233633,22490.0
82,0.0,1.0,2017,1.0,184.0,4.0,1.0,1.0,4,1.0,1.0,1.0,36.0,23.0,0.2546854942233633,25690.0
83,0.0,1.0,2017,1.0,295.0,6.0,1.0,0.0,4,1.0,1.0,1.0,28.0,18.0,0.2546854942233633,30900.0
84,0.0,1.0,2017,1.0,184.0,4.0,1.0,1.0,4,1.0,1.0,1.0,36.0,23.0,0.2546854942233633,27795.0
85,0.0,1.0,2017,1.0,184.0,4.0,1.0,1.0,4,1.0,1.0,1.0,36.0,23.0,0.2546854942233633,21995.0
86,0.0,1.0,2017,1.0,184.0,4.0,1.0,1.0,4,1.0,1.0,1.0,36.0,23.0,0.2546854942233633,24490.0
112,0.0,1.0,2012,1.0,100.0,4.0,1.0,1.0,4,1.0,0.0,1.0,35.0,29.0,0.14505776636713735,16020.0
113,0.0,1.0,2012,1.0,100.0,4.0,1.0,1.0,4,1.0,0.0,1.0,35.0,29.0,0.14505776636713735,14530.0
114,0.0,1.0,2012,1.0,100.0,4.0,1.0,1.0,4,1.0,0.0,1.0,34.0,28.0,0.14505776636713735,16860.0
115,0.0,1.0,2012,1.0,100.0,4.0,1.0,1.0,4,1.0,0.0,1.0,34.0,28.0,0.14505776636713735,15370.0
116,0.0,1.0,2013,1.0,100.0,4.0,1.0,1.0,4,1.0,0.0,1.0,34.0,28.0,0.14505776636713735,17050.0
117,0.0,1.0,2013,1.0,100.0,4.0,1.0,1.0,4,1.0,0.0,1.0,34.0,28.0,0.14505776636713735,15560.0
118,0.0,1.0,2013,1.0,100.0,4.0,1.0,1.0,4,1.0,0.0,1.0,35.0,29.0,0.14505776636713735,16210.0
119,0.0,1.0,2013,1.0,100.0,4.0,1.0,1.0,4,1.0,0.0,1.0,35.0,29.0,0.14505776636713735,14720.0
120,0.0,1.0,2014,1.0,100.0,4.0,1.0,1.0,4,1.0,0.0,1.0,34.0,28.0,0.14505776636713735,17050.0
121,0.0,1.0,2014,1.0,100.0,4.0,1.0,1.0,4,1.0,0.0,1.0,34.0,28.0,0.14505776636713735,15560.0
122,0.0,1.0,2014,1.0,100.0,4.0,1.0,1.0,4,1.0,0.0,1.0,35.0,29.0,0.14505776636713735,16210.0
123,0.0,1.0,2014,1.0,100.0,4.0,1.0,1.0,4,1.0,0.0,1.0,35.0,29.0,0.14505776636713735,14720.0
124,0.0,1.0,2015,1.0,300.0,6.0,1.0,0.0,4,1.0,1.0,1.0,30.0,20.0,1.0,47250.0
125,0.0,1.0,2015,1.0,240.0,4.0,1.0,0.0,4,1.0,1.0,1.0,33.0,22.0,1.0,41850.0
127,0.0,1.0,2016,1.0,240.0,4.0,1.0,0.0,4,1.0,1.0,1.0,34.0,22.0,1.0,43000.0
128,0.0,1.0,2016,1.0,300.0,6.0,1.0,0.0,4,1.0,1.0,1.0,30.0,20.0,1.0,49200.0
129,0.0,1.0,2017,1.0,320.0,6.0,1.0,0.0,4,1.0,1.0,1.0,30.0,20.0,1.0,49650.0
130,0.0,1.0,2017,1.0,248.0,4.0,1.0,0.0,4,1.0,1.0,1.0,33.0,23.0,1.0,43950.0
131,0.0,1.0,2015,1.0,241.0,4.0,1.0,0.0,4,1.0,1.0,1.0,33.0,22.0,1.0,41950.0
132,0.0,1.0,2015,1.0,335.0,6.0,1.0,1.0,4,1.0,1.0,1.0,33.0,25.0,1.0,50150.0
133,0.0,1.0,2015,1.0,240.0,4.0,1.0,1.0,4,1.0,1.0,1.0,35.0,23.0,1.0,37500.0
134,0.0,1.0,2015,1.0,300.0,6.0,1.0,1.0,4,1.0,1.0,1.0,32.0,21.0,1.0,43750.0
136,0.0,1.0,2015,1.0,240.0,4.0,1.0,0.0,4,1.0,1.0,1.0,33.0,22.0,1.0,39500.0
138,0.0,1.0,2015,1.0,180.0,4.0,1.0,0.0,4,1.0,1.0,1.0,35.0,23.0,1.0,34950.0
139,0.0,1.0,2015,1.0,300.0,6.0,1.0,0.0,4,1.0,1.0,1.0,30.0,20.0,1.0,45750.0
143,0.0,1.0,2015,1.0,180.0,4.0,1.0,1.0,4,1.0,1.0,1.0,36.0,24.0,1.0,32950.0
144,0.0,1.0,2016,0.0,180.0,4.0,1.0,0.0,4,1.0,1.0,1.0,40.0,30.0,1.0,41850.0
145,0.0,1.0,2016,1.0,320.0,6.0,1.0,0.0,4,1.0,1.0,1.0,33.0,22.0,1.0,47800.0
147,0.0,1.0,2016,1.0,240.0,4.0,1.0,1.0,4,1.0,1.0,1.0,34.0,22.0,1.0,38350.0
148,0.0,1.0,2016,1.0,240.0,4.0,1.0,0.0,4,1.0,1.0,1.0,34.0,22.0,1.0,40350.0
149,0.0,1.0,2016,1.0,240.0,4.0,1.0,1.0,4,1.0,1.0,1.0,34.0,22.0,1.0,38350.0
150,0.0,1.0,2016,1.0,240.0,4.0,1.0,0.0,4,1.0,1.0,1.0,34.0,22.0,1.0,42650.0
151,0.0,1.0,2016,1.0,180.0,4.0,1.0,1.0,4,1.0,1.0,1.0,36.0,24.0,1.0,33150.0
152,0.0,1.0,2016,1.0,180.0,4.0,1.0,0.0,4,1.0,1.0,1.0,35.0,23.0,1.0,35150.0
153,0.0,1.0,2016,0.0,180.0,4.0,1.0,0.0,4,1.0,1.0,1.0,40.0,30.0,1.0,44150.0
154,0.0,1.0,2016,1.0,320.0,6.0,1.0,1.0,4,1.0,1.0,1.0,33.0,22.0,1.0,45800.0
155,0.0,1.0,2017,1.0,248.0,4.0,1.0,1.0,4,1.0,1.0,1.0,34.0,23.0,1.0,38750.0
156,0.0,1.0,2017,1.0,180.0,4.0,1.0,0.0,4,1.0,1.0,1.0,34.0,23.0,1.0,35450.0
157,0.0,1.0,2017,1.0,180.0,4.0,1.0,1.0,4,1.0,1.0,1.0,35.0,23.0,1.0,33450.0
158,0.0,1.0,2017,1.0,248.0,4.0,1.0,0.0,4,1.0,1.0,1.0,33.0,23.0,1.0,40750.0
159,0.0,1.0,2017,0.0,180.0,4.0,1.0,0.0,4,1.0,1.0,1.0,40.0,30.0,1.0,42250.0
160,0.0,1.0,2017,1.0,248.0,4.0,1.0,0.0,4,1.0,1.0,1.0,33.0,23.0,1.0,42950.0
162,0.0,1.0,2017,1.0,320.0,6.0,1.0,0.0,4,1.0,1.0,1.0,31.0,21.0,1.0,49900.0
163,0.0,1.0,2017,1.0,320.0,6.0,1.0,1.0,4,1.0,1.0,1.0,32.0,21.0,1.0,47900.0
164,0.0,1.0,2017,0.0,180.0,4.0,1.0,0.0,4,1.0,1.0,1.0,40.0,30.0,1.0,44450.0
207,0.0,1.0,2015,1.0,300.0,6.0,1.0,1.0,4,1.0,1.0,1.0,31.0,19.0,0.2546854942233633,35070.0
208,0.0,1.0,2015,1.0,292.0,6.0,1.0,1.0,4,1.0,1.0,1.0,31.0,19.0,0.2546854942233633,42395.0
212,0.0,1.0,2016,1.0,300.0,6.0,1.0,1.0,4,1.0,1.0,1.0,31.0,19.0,0.2546854942233633,35595.0
217,0.0,1.0,2016,1.0,300.0,6.0,1.0,1.0,4,1.0,1.0,1.0,31.0,19.0,0.2546854942233633,36090.0
218,0.0,1.0,2016,1.0,292.0,6.0,1.0,1.0,4,1.0,1.0,1.0,31.0,19.0,0.2546854942233633,42690.0
226,0.0,1.0,2017,1.0,292.0,6.0,1.0,1.0,4,1.0,1.0,1.0,30.0,19.0,0.2546854942233633,38635.0
227,0.0,1.0,2017,1.0,300.0,6.0,1.0,1.0,4,1.0,1.0,1.0,30.0,19.0,0.2546854942233633,36170.0
230,0.0,1.0,2017,1.0,292.0,6.0,1.0,1.0,4,1.0,1.0,1.0,30.0,19.0,0.2546854942233633,42770.0
232,0.0,1.0,2017,1.0,300.0,6.0,1.0,1.0,4,1.0,1.0,1.0,30.0,19.0,0.2546854942233633,35675.0
233,0.0,1.0,2002,1.0,250.0,6.0,1.0,1.0,4,1.0,1.0,1.0,24.0,16.0,0.2546854942233633,32065.0
234,0.0,1.0,2002,1.0,250.0,6.0,1.0,1.0,4,1.0,1.0,1.0,24.0,16.0,0.2546854942233633,28540.0
235,0.0,1.0,2003,1.0,255.0,6.0,1.0,1.0,4,1.0,1.0,1.0,25.0,16.0,0.2546854942233633,32315.0
236,0.0,1.0,2003,1.0,250.0,6.0,1.0,1.0,4,1.0,1.0,1.0,25.0,16.0,0.2546854942233633,28885.0
237,0.0,1.0,2004,1.0,250.0,6.0,1.0,1.0,4,1.0,1.0,1.0,25.0,16.0,0.2546854942233633,29185.0
238,0.0,1.0,2004,1.0,255.0,6.0,1.0,1.0,4,1.0,1.0,1.0,25.0,16.0,0.2546854942233633,32615.0
260,0.0,1.0,2007,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,23.0,17.0,0.5103979460847241,36550.0
261,0.0,1.0,2007,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,23.0,17.0,0.5103979460847241,41250.0
262,0.0,1.0,2007,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,24.0,17.0,0.5103979460847241,30600.0
263,0.0,1.0,2007,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,24.0,17.0,0.5103979460847241,37100.0
264,0.0,1.0,2007,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,25.0,18.0,0.5103979460847241,27900.0
265,0.0,1.0,2007,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,25.0,18.0,0.5103979460847241,32700.0
266,0.0,1.0,2007,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,24.0,17.0,0.5103979460847241,40250.0
267,0.0,1.0,2007,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,24.0,17.0,0.5103979460847241,35550.0
268,0.0,1.0,2007,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,25.0,18.0,0.5103979460847241,36100.0
269,0.0,1.0,2007,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,24.0,17.0,0.5103979460847241,33200.0
270,0.0,1.0,2007,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,24.0,17.0,0.5103979460847241,37900.0
271,0.0,1.0,2007,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,25.0,18.0,0.5103979460847241,29600.0
272,0.0,1.0,2007,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,25.0,18.0,0.5103979460847241,38070.0
273,0.0,1.0,2007,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,23.0,17.0,0.5103979460847241,38900.0
274,0.0,1.0,2008,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,24.0,17.0,0.5103979460847241,33840.0
275,0.0,1.0,2008,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,24.0,17.0,0.5103979460847241,38630.0
276,0.0,1.0,2008,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,23.0,17.0,0.5103979460847241,39630.0
277,0.0,1.0,2008,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,24.0,17.0,0.5103979460847241,37740.0
278,0.0,1.0,2008,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,23.0,17.0,0.5103979460847241,41980.0
279,0.0,1.0,2008,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,24.0,17.0,0.5103979460847241,36280.0
280,0.0,1.0,2008,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,25.0,18.0,0.5103979460847241,36740.0
281,0.0,1.0,2008,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,24.0,17.0,0.5103979460847241,40980.0
282,0.0,1.0,2008,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,25.0,18.0,0.5103979460847241,38680.0
283,0.0,1.0,2008,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,25.0,18.0,0.5103979460847241,28510.0
284,0.0,1.0,2008,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,25.0,18.0,0.5103979460847241,30210.0
285,0.0,1.0,2008,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,24.0,17.0,0.5103979460847241,31210.0
286,0.0,1.0,2008,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,25.0,18.0,0.5103979460847241,33340.0
287,0.0,1.0,2008,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,23.0,17.0,0.5103979460847241,37280.0
288,0.0,1.0,2009,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,24.0,17.0,0.5103979460847241,41570.0
289,0.0,1.0,2009,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,24.0,17.0,0.5103979460847241,36870.0
290,0.0,1.0,2009,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,23.0,17.0,0.5103979460847241,42570.0
291,0.0,1.0,2009,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,23.0,17.0,0.5103979460847241,37870.0
292,0.0,1.0,2009,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,24.0,17.0,0.5103979460847241,39220.0
293,0.0,1.0,2009,1.0,306.0,6.0,1.0,1.0,2,1.0,0.0,1.0,23.0,17.0,0.5103979460847241,40220.0
307,0.0,1.0,2015,1.0,350.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,19.0,0.5103979460847241,46790.0
308,0.0,1.0,2015,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,24.0,17.0,0.5103979460847241,48100.0
309,0.0,1.0,2015,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,18.0,0.5103979460847241,29990.0
310,0.0,1.0,2015,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,25.0,18.0,0.5103979460847241,41820.0
311,0.0,1.0,2015,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,19.0,0.5103979460847241,31290.0
312,0.0,1.0,2015,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,19.0,0.5103979460847241,34870.0
313,0.0,1.0,2015,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,18.0,0.5103979460847241,33570.0
314,0.0,1.0,2015,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,25.0,18.0,0.5103979460847241,46570.0
315,0.0,1.0,2015,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,18.0,0.5103979460847241,37970.0
316,0.0,1.0,2015,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,18.0,0.5103979460847241,37070.0
317,0.0,1.0,2015,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,25.0,18.0,0.5103979460847241,49400.0
318,0.0,1.0,2015,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,24.0,17.0,0.5103979460847241,45270.0
319,0.0,1.0,2015,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,19.0,0.5103979460847241,39270.0
320,0.0,1.0,2015,1.0,350.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,18.0,0.5103979460847241,45490.0
321,0.0,1.0,2015,1.0,350.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,18.0,0.5103979460847241,41990.0
322,0.0,1.0,2015,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,19.0,0.5103979460847241,38370.0
323,0.0,1.0,2015,1.0,350.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,19.0,0.5103979460847241,43290.0
324,0.0,1.0,2016,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,25.0,18.0,0.5103979460847241,41820.0
325,0.0,1.0,2016,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,24.0,17.0,0.5103979460847241,48100.0
326,0.0,1.0,2016,1.0,350.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,19.0,0.5103979460847241,43290.0
327,0.0,1.0,2016,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,19.0,0.5103979460847241,39270.0
328,0.0,1.0,2016,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,19.0,0.5103979460847241,34870.0
329,0.0,1.0,2016,1.0,350.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,18.0,0.5103979460847241,41990.0
330,0.0,1.0,2016,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,19.0,0.5103979460847241,38370.0
331,0.0,1.0,2016,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,24.0,17.0,0.5103979460847241,45270.0
332,0.0,1.0,2016,1.0,350.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,18.0,0.5103979460847241,45490.0
333,0.0,1.0,2016,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,18.0,0.5103979460847241,29990.0
334,0.0,1.0,2016,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,25.0,18.0,0.5103979460847241,46570.0
335,0.0,1.0,2016,1.0,350.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,19.0,0.5103979460847241,46790.0
336,0.0,1.0,2016,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,25.0,18.0,0.5103979460847241,49400.0
337,0.0,1.0,2016,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,18.0,0.5103979460847241,37070.0
338,0.0,1.0,2016,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,19.0,0.5103979460847241,31290.0
339,0.0,1.0,2016,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,18.0,0.5103979460847241,37970.0
340,0.0,1.0,2016,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,18.0,0.5103979460847241,33570.0
341,0.0,1.0,2017,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,18.0,0.5103979460847241,37970.0
342,0.0,1.0,2017,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,19.0,0.5103979460847241,38370.0
343,0.0,1.0,2017,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,19.0,0.5103979460847241,34870.0
344,0.0,1.0,2017,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,18.0,0.5103979460847241,29990.0
345,0.0,1.0,2017,1.0,350.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,18.0,0.5103979460847241,45490.0
346,0.0,1.0,2017,1.0,350.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,18.0,0.5103979460847241,41990.0
347,0.0,1.0,2017,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,24.0,17.0,0.5103979460847241,45270.0
348,0.0,1.0,2017,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,18.0,0.5103979460847241,33570.0
349,0.0,1.0,2017,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,24.0,17.0,0.5103979460847241,48100.0
350,0.0,1.0,2017,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,19.0,0.5103979460847241,39270.0
351,0.0,1.0,2017,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,25.0,18.0,0.5103979460847241,46570.0
352,0.0,1.0,2017,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,25.0,18.0,0.5103979460847241,49400.0
353,0.0,1.0,2017,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,18.0,0.5103979460847241,37070.0
354,0.0,1.0,2017,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,25.0,18.0,0.5103979460847241,41820.0
355,0.0,1.0,2017,1.0,350.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,19.0,0.5103979460847241,46790.0
356,0.0,1.0,2017,1.0,350.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,19.0,0.5103979460847241,43290.0
357,0.0,1.0,2017,1.0,332.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,19.0,0.5103979460847241,31290.0
358,0.0,1.0,2015,1.0,184.0,4.0,1.0,1.0,4,1.0,0.0,1.0,37.0,25.0,0.14505776636713735,25045.0
